M0001,Student,UG,CS01,\N
M0002,Student,UG,CS02,\N
M0003,Student,UG,CS03,\N
M0004,Student,UG,CS04,\N
M0005,Student,UG,CS05,\N
M0006,Student,UG,CS06,\N
M0007,Student,UG,CS07,\N
M0008,Student,UG,CS08,\N
M0009,Student,UG,CS09,\N
M0010,Student,UG,CS10,\N
M0011,Student,UG,CS11,\N
M0014,Student,UG,CS14,\N
M0015,Student,UG,CS15,\N
M0017,Student,UG,ME01,\N
M0018,Student,UG,ME02,\N
M0019,Student,UG,ME03,\N
M0020,Student,UG,ME04,\N
M0021,Student,UG,ME05,\N
M0022,Student,UG,ME06,\N
M0023,Student,UG,ME07,\N
M0025,Student,UG,ME09,\N
M0026,Student,UG,ME10,\N
M0027,Student,UG,ME11,\N
M0028,Student,UG,ME12,\N
M0029,Student,UG,ME13,\N
M0030,Student,UG,ME14,\N
M0031,Student,UG,EE01,\N
M0032,Student,UG,EE02,\N
M0033,Student,UG,EE03,\N
M0034,Student,UG,EE04,\N
M0035,Student,UG,EE05,\N
M0036,Student,UG,EE06,\N
M0037,Student,UG,EE07,\N
M0038,Student,UG,EE08,\N
M0039,Student,UG,EE09,\N
M0040,Student,UG,EE10,\N
M0041,Student,UG,EE11,\N
M0042,Student,UG,EE12,\N
M0043,Student,PG,MCA01,\N
M0044,Student,PG,MCA02,\N
M0045,Student,PG,MCA03,\N
M0046,Student,PG,MCA04,\N
M0047,Student,PG,MCA05,\N
M0048,Student,PG,MCA06,\N
M0049,Student,PG,MCA07,\N
M0050,Student,PG,MCA08,\N
M0051,Student,PG,MCA09,\N
M0052,Student,PG,MCA10,\N
M0013,Student,UG,CS13,\N
M0012,Student,UG,CS12,\N
M0016,Student,UG,CS16,\N
M0024,Student,UG,ME15,\N
M0053,Faculty,FC,\N,FCS01
M0054,Faculty,FC,\N,FCS02
M0055,Faculty,FC,\N,FCS03
M0056,Faculty,FC,\N,FCS04
M0057,Faculty,FC,\N,FME01
M0058,Faculty,FC,\N,FME02
M0059,Faculty,FC,\N,FME03
M0060,Faculty,FC,\N,FME04
M0061,Faculty,FC,\N,FEE01
M0062,Faculty,FC,\N,FEE02
M0063,Faculty,FC,\N,FEE03
M0064,Faculty,FC,\N,FEE04
M0065,Faculty,FC,\N,FMCA01
M0066,Faculty,FC,\N,FMCA02
M0067,Faculty,FC,\N,FMCA03
M0068,Faculty,FC,\N,FMCA04
