9789351199380,Advanced Database Management System,Dreamtech Press,2017
9788120348424,Database Management System Oracle SQL,Prentice Hall India Learning Private Limited,2013
9789351197584,Java 8 Programming Black Book,Dreamtech Press,2015
9789386601407,Handbook of Computer Science & IT,G.K. Pub,2017
9789352921171,Computer Science Textbook For Class 11,NCERT,2019
9789352604166,Computing Fundamentals and C Programming,McGraw Hill Education,2017
9789332549449,The C Programming Language,Pearson Education India,2015
9789351343202,Programming in ANSI C,McGraw Hill Education,2019
9788131773383,Clean Code,Pearson Education,2012
9788131705216,The C++ Programming Language,Pearson Education India,2002
9788126563050,Machine Learning (in Python and R),For Dummies	Wiley,2016
9788126568932,Blockchain,for Dummies	Wiley,2017
9788126576104,Artificial Intelligence,For Dummies	Wiley,2018
9789351198147,Learning with Python,Dreamtech Press,2015
9789388176644,Let us C++,BPB Publications,2020
9780984782864,Cracking the Coding Interview (Indian Edition),CareerCup,2015
9789386551337,Coding For Beginners In Easy Steps,BPB,2017
9789386551375,Excel Vba In Easy Steps,BPB,2017
9781316601853,Basic Computation and Programming with C,Cambridge University Press,2017
9789332543553,Programming in C,Pearson Education India,2015
